time,meas_pos_1,meas_vel_1,filt_pos_1,filt_vel_1,cmd_pos_1,meas_pos_2,meas_vel_2,filt_pos_2,filt_vel_2,cmd_pos_2,meas_pos_3,meas_vel_3,filt_pos_3,filt_vel_3,cmd_pos_3
5.740002961829305e-07,-0.0036443121995883843,0.010681315327687457,-0.0036443121995883843,0.018249790188448856,-0.025377680361270905,-0.7969535362783251,0.000915541313801782,-0.7969535362783251,0.005432211795223906,-0.6292344629764557,-1.0474520485236898,-0.054627298390172996,-1.0474520485236898,-0.04919508659494909,-1.2595422625541688
0.005058840004494414,-0.0036443121995883843,-0.008239871824216038,-0.0036443121995883843,-0.00559090562294955,-0.024847993701696398,-0.7958027008468758,0.32745860990310405,-0.7959177843900207,0.295255970092316,-0.6301875859498978,-1.0489864957656216,-0.5294880598153675,-1.0488330510414285,-0.4814587624933257,-1.2601499116420745
0.010113716998603195,-0.004411535820555201,-0.12664988174257985,-0.00433481345845852,-0.11454398413061682,-0.024795025035738945,-0.792733806363012,0.8114747844663164,-0.7930522041657129,0.7598529030289164,-0.6302828982472419,-1.0535898374914154,-1.1203173876554509,-1.0531141588464168,-1.0564315251392384,-1.2602106765508652
0.015168001991696656,-0.004795147631035945,-0.08758678568703715,-0.004749114213778203,-0.09028250553139511,-0.024789728169143203,-0.788514076447699,0.8792248416876483,-0.7889678892195005,0.867287647821775,-0.6302924294769764,-1.0604948500801097,-1.4407568474860746,-1.0597567809567403,-1.4023243152513911,-1.2602167530417443
0.02022367500467226,-0.005562371252002762,-0.1852445258258939,-0.005481045548180307,-0.175748323796444,-0.02114525492683053,-0.7835271229114209,0.97261005569543,-0.7840711995422289,0.9620778149080645,-0.6342165960818529,-1.0685506981002515,-1.7538719768062876,-1.0676713063859005,-1.718717210650798,-1.256803337768316
0.025287515003583394,-0.0063295948729695795,-0.13519493400472982,-0.006244739940490652,-0.13925027298390125,-0.020780807602599264,-0.7773893339436952,1.15754940108339,-0.7780575205035486,1.1380022424658576,-0.6346090127423405,-1.0792918287937745,-2.2000457770656894,-1.0781297765529871,-2.1519129204242002,-1.2564619962409733
0.030345706996740773,-0.00709681849393462,-0.30304417486838986,-0.007011610638590223,-0.286664784679941,-0.02074436287017614,-0.770484321355001,1.4316014343480568,-0.7712416412698557,1.4022415151598369,-0.6346482544083893,-1.09041657129778,-2.307469291218432,-1.0891878918233007,-2.291913654139009,-1.2564278620882392
0.035405064991209656,-0.007864042114899661,-0.16327153429465113,-0.0077787989672687165,-0.1756108593331801,-0.020740718396933824,-0.7628120851453417,1.5854123750667597,-0.7636550407577931,1.5670952890760674,-0.6346521785749941,-1.1015413138017855,-2.240329594872968,-1.1003059716039372,-2.245488000799572,-1.2564244486729657
0.04046236799331382,-0.008631265735866478,-0.12848096437018341,-0.008546019059006702,-0.13319395386648308,-0.01583480488533099,-0.7551398489356842,1.622034027618831,-0.7559913681178951,1.6165401537645545,-0.6449990849782422,-1.113433279926758,-2.311131456473639,-1.1121205490944759,-2.3045671109062322,-1.2477337501231864
0.0455190969951218,-0.009782101167315815,-0.24383916990920795,-0.009658492956484905,-0.23277464830493547,-0.015344213534170707,-0.7467003891050581,1.7117570763714056,-0.7476294870063418,1.7022353841107205,-0.646033775618567,-1.124941634241246,-2.2537575341420606,-1.123659525726569,-2.258838491818478,-1.2468646802682084
0.05058484399341978,-0.010549324788280856,-0.14679179064621906,-0.010460241605101261,-0.15539007641209068,-0.015295154399054678,-0.7378773174639495,1.6897840848401628,-0.7388525344181887,1.6910292147672186,-0.6461372446825995,-1.1364499885557322,-2.1396200503547718,-1.1351709422728158,-2.1515418945011424,-1.2467777732827106
0.05564118399342988,-0.011316548409245897,-0.22125581750209733,-0.011230917728831433,-0.21466924339309668,-0.015290248485543074,-0.730205081254292,1.4999618524452565,-0.7310698265706816,1.5190685886774529,-0.6461475915890028,-1.1471911192492552,-1.9449149309529261,-1.1459891015516113,-1.9655776273077477,-1.2467690825841609
0.060695134990965016,-0.011700160219730193,-0.10650797283894065,-0.011653235970640318,-0.11732409989435624,-0.011166842216465645,-0.7225328450446327,1.481040665293353,-0.7233865431972376,1.484843457631763,-0.6779314083574324,-1.15793224994278,-2.0102235446707866,-1.156737935103663,-2.0057589529344826,-1.2073879134692926
0.06575240100210067,-0.012467383840695234,-0.09002822919050857,-0.012385969053689742,-0.09275781626089333,-0.010754501589557902,-0.7152442206454559,1.4523537041275638,-0.7160584529006341,1.455602679477984,-0.6811097900342753,-1.1675225452048537,-1.8735027084763871,-1.1664440841947346,-1.8867283329221967,-1.203449796557806
0.07080916699487716,-0.012850995651179531,0.023498893720912406,-0.012804492991430553,0.011873222722731835,-0.010713267526867128,-0.708722819867246,1.2301823453116647,-0.7094563831705848,1.2527243787282967,-0.6814276282019597,-1.1755783932249937,-1.4468604562447531,-1.1746649623219678,-1.4908472439124976,-1.203055984866657
0.0758641549909953,-0.012850995651179531,0.06927595941100151,-0.012846345385204634,0.06353568574217454,-0.010709144120598051,-0.7037358663309679,0.8706797894254983,-0.7043079180149295,0.9088842483557781,-0.6814594120187281,-1.1817161821927211,-1.0971236743724724,-1.1810110602056458,-1.136496031326475,-1.2030166036975423
