time,meas_pos_1,meas_vel_1,cmd_pos_1,meas_pos_2,meas_vel_2,cmd_pos_2,meas_pos_3,meas_vel_3,cmd_pos_3
2.5899498723447323e-07,-0.0005754177157246687,0.07965209430075504,-0.034450314939022064,-0.7186967269398021,0.01495384145876244,-0.21216675639152527,-1.079675440604257,0.018005645838101714,-0.495683878660202
0.020065852004336193,-0.0009590295262071891,0.07843137254901933,-0.017328912392258644,-0.7071883726253159,1.0342565041580833,-0.27954089641571045,-1.0624129091325258,1.451132982375828,-0.5488755106925964
0.040124777995515615,-0.0013426413366914858,-0.06195162890058725,-0.022672975435853004,-0.684171663996338,1.2826733806363002,-0.35196077823638916,-1.0294222934309918,1.8521400778210122,-0.6355898976325989
0.060185870999703184,-0.0013426413366914858,-0.04364080262455161,-0.014186376705765724,-0.6592368963149475,1.169756618600747,-0.40795040130615234,-0.9975825131609071,1.459678034637978,-0.6678522825241089
0.08024522199411876,-0.0013426413366914858,-0.00030518043793392735,-0.007417310029268265,-0.6396726939803159,0.8181887541008628,-0.44945716857910156,-0.971113298237583,1.2173647669184398,-0.6932306885719299
0.10030370399181265,-0.0013426413366914858,-0.07598992904554791,-0.006014441139996052,-0.6239446097505148,0.7949950408178843,-0.4829981327056885,-0.9500146486610213,0.9109636072327767,-0.6796153783798218
0.12036149999767076,-0.0009590295262071891,0.07721065079728362,-0.004750393331050873,-0.6120526436255425,0.4519722285801464,-0.5098387002944946,-0.9319848935683215,0.8291752498664842,-0.6731129288673401
0.14041694499610458,-0.0013426413366914858,-0.07721065079728362,-0.0018788352608680725,-0.6051476310368518,0.24505989166094366,-0.5324201583862305,-0.9151059739070728,0.8438239108873127,-0.6903526186943054
0.16047244500077795,-0.0013426413366914858,0.09918364232852639,0.0011840667575597763,-0.6009279011215387,0.08087281605249075,-0.562384307384491,-0.8993778896772717,0.762645914396888,-0.7148733139038086
0.1805293340003118,-0.0009590295262071891,-0.06195162890058725,0.0037225522100925446,-0.5997770656900894,-0.0289921416037231,-0.5537206530570984,-0.885567864499885,0.478828107118332,-0.7102488875389099
0.20058720400265884,-0.0009590295262071891,0.09674219882505497,0.003215806558728218,-0.5997770656900894,0.10223544670786566,-0.5569069385528564,-0.8740595101853987,0.5111772335393319,-0.7170662879943848
0.22064472299825866,-0.0009590295262071891,-0.05157549401083372,0.00494757667183876,-0.5997770656900894,0.07965209430075504,-0.5536869168281555,-0.8629347676813914,0.48249027237353914,-0.7202845215797424
0.24070248199859634,-0.0009590295262071891,-0.008850232700083893,0.005178762599825859,-0.5997770656900894,-0.05645838101777656,-0.5495137572288513,-0.8541116960402846,0.3848325322346824,-0.7233128547668457
0.26076009299140424,-0.0005754177157246687,0.0015259021896696368,0.004668321460485458,-0.5997770656900894,0.03204394598306237,-0.5417742133140564,-0.8475902952620746,0.40558480201418945,-0.7294002175331116
0.28081796399783343,-0.0009590295262071891,0.008239871824216038,0.005003100261092186,-0.5997770656900894,0.021667811093308842,-0.5381327867507935,-0.839534447241931,0.4641794460975035,-0.7345911264419556
0.3008756299968809,-0.0005754177157246687,0.057068741893644415,0.0017027854919433594,-0.5997770656900894,-0.028381780727855244,-0.531295657157898,-0.8318622110322735,0.306706340123597,-0.7471022009849548
0.3209391120035434,-0.0005754177157246687,-0.07721065079728362,0.004639031365513802,-0.5993934538796051,0.10589761196307279,-0.5289862751960754,-0.827258869306478,0.17608911268787608,-0.7666110396385193
0.34099472299567424,-0.0005754177157246687,0.06561379415579438,0.0005728453397750854,-0.597859006637675,0.14862287327382262,-0.5251492857933044,-0.8241899748226142,0.20355535210192954,-0.770301342010498
0.36105053799110465,-0.0005754177157246687,-0.08941786831464071,0.006225360557436943,-0.5974753948271907,-0.022278171969176697,-0.5253060460090637,-0.8222719157701999,0.06073090714885154,-0.7747985124588013
0.38110627900459804,-0.0005754177157246687,-0.024719615472648115,0.0015097428113222122,-0.5974753948271907,0.0357061112382695,-0.5246148705482483,-0.821504692149233,-0.018005645838101714,-0.7751915454864502
0.40116227899852674,-0.0009590295262071891,-0.015564202334630295,0.004866031929850578,-0.5974753948271907,-0.03448538948653379,-0.5247021913528442,-0.821504692149233,-0.07721065079728362,-0.7846328616142273
0.42121988999133464,-0.0005754177157246687,0.04058899824521234,0.004857242107391357,-0.5974753948271907,-0.16144045166704757,-0.5232572555541992,-0.821504692149233,0.12787060349431556,-0.7942023277282715
0.44127811200451106,-0.0009590295262071891,-0.05645838101777656,0.002493264153599739,-0.5974753948271907,0.11261158159761919,-0.5234341621398926,-0.821504692149233,-0.06317235065232296,-0.7907627820968628
0.4613366679986939,-0.0005754177157246687,-0.00030518043793392735,0.002683239057660103,-0.5970917830167082,0.07721065079728362,-0.524401843547821,-0.821504692149233,-0.03936827649347663,-0.7989720106124878
0.4813953720004065,-0.0005754177157246687,0.02655069810025168,0.002673814073204994,-0.5970917830167082,-0.10284580758373352,-0.5256426334381104,-0.821504692149233,-0.011902037079423167,-0.8113857507705688
0.5014564829907613,-0.0005754177157246687,-0.021057450217440987,0.004811426624655724,-0.5970917830167082,0.054627298390172996,-0.5274485945701599,-0.8218883039597173,-0.07904173342488718,-0.8058139681816101
0.5215130379947368,-0.0009590295262071891,-0.03814755474174092,0.0004903506487607956,-0.5970917830167082,-0.05035477225909801,-0.5276353359222412,-0.8218883039597173,0.06988632028686936,-0.8120848536491394
0.541571074994863,-0.0005754177157246687,0.03326466773479808,0.0041414350271224976,-0.5970917830167082,-0.038757915617608774,-0.5277062058448792,-0.8222719157701999,0.06378271152819082,-0.8201815485954285
0.5616291129990714,-0.0005754177157246687,-0.09857328145265853,0.0015481989830732346,-0.5970917830167082,0.036316472114137355,-0.5300722122192383,-0.8226555275806824,-0.008239871824216038,-0.8207383155822754
0.5816865009983303,-0.0005754177157246687,-0.00030518043793392735,0.0006696246564388275,-0.5970917830167082,0.055848020141908705,-0.5295011401176453,-0.8230391393911649,0.02532997634851597,-0.8264665603637695
0.6017447789927246,-0.0005754177157246687,0.06256198977645511,0.0014366265386343002,-0.5970917830167082,-0.05218585488670158,-0.5318477749824524,-0.8234227512016474,-0.0613412680247194,-0.8418131470680237
0.6218112609931268,-0.0005754177157246687,-0.04730296787975874,0.0021888520568609238,-0.5970917830167082,-0.09918364232852639,-0.534752368927002,-0.8245735866330968,-0.03143358510719452,-0.8389735817909241
